url,canonical_now,canonical_final,action,why
"https://www.liquorlicenseagents.com/cities/alameda/alameda-county-type-85-limited-off-sale-wine-license","https://www.liquorlicenseagents.com/cities/alameda-county-type-85-limited-off-sale-wine-license/","https://www.liquorlicenseagents.com/cities/alameda/alameda-county-type-85-limited-off-sale-wine-license/","CHANGE TO THE TRAILING-SLASH URL","its canonical target /cities/alameda-county-type-85-limited-off-sale-wine-license/ returns 301, so pointing at it is a dead end; the trailing-slash spelling is the one this site uses everywhere else"
"https://www.liquorlicenseagents.com/cities/alameda/alameda-county-type-85-limited-off-sale-wine-license/","https://www.liquorlicenseagents.com/cities/alameda-county-type-85-limited-off-sale-wine-license/","https://www.liquorlicenseagents.com/cities/alameda/alameda-county-type-85-limited-off-sale-wine-license/","CHANGE TO SELF","its canonical target /cities/alameda-county-type-85-limited-off-sale-wine-license/ returns 301, so pointing at it is a dead end"
"https://www.liquorlicenseagents.com/cities/alameda/alameda-type-21-full-liquor-license-for-liquor-stores-off-sale","https://www.liquorlicenseagents.com/cities/alameda-type-21-full-liquor-license-for-liquor-stores-off-sale/","https://www.liquorlicenseagents.com/cities/alameda/alameda-type-21-full-liquor-license-for-liquor-stores-off-sale/","CHANGE TO THE TRAILING-SLASH URL","its canonical target /cities/alameda-type-21-full-liquor-license-for-liquor-stores-off-sale/ returns 301, so pointing at it is a dead end; the trailing-slash spelling is the one this site uses everywhere else"
"https://www.liquorlicenseagents.com/cities/alameda/alameda-type-21-full-liquor-license-for-liquor-stores-off-sale/","https://www.liquorlicenseagents.com/cities/alameda-type-21-full-liquor-license-for-liquor-stores-off-sale/","https://www.liquorlicenseagents.com/cities/alameda/alameda-type-21-full-liquor-license-for-liquor-stores-off-sale/","CHANGE TO SELF","its canonical target /cities/alameda-type-21-full-liquor-license-for-liquor-stores-off-sale/ returns 301, so pointing at it is a dead end"
"https://www.liquorlicenseagents.com/cities/alameda/alameda-type-21-liquor-license-for-full-liquor-off-sale-retailers","https://www.liquorlicenseagents.com/cities/alameda-type-21-liquor-license-for-full-liquor-off-sale-retailers/","https://www.liquorlicenseagents.com/cities/alameda/alameda-type-21-liquor-license-for-full-liquor-off-sale-retailers/","CHANGE TO THE TRAILING-SLASH URL","its canonical target /cities/alameda-type-21-liquor-license-for-full-liquor-off-sale-retailers/ returns 301, so pointing at it is a dead end; the trailing-slash spelling is the one this site uses everywhere else"
"https://www.liquorlicenseagents.com/cities/alameda/alameda-type-21-liquor-license-for-full-liquor-off-sale-retailers/","https://www.liquorlicenseagents.com/cities/alameda-type-21-liquor-license-for-full-liquor-off-sale-retailers/","https://www.liquorlicenseagents.com/cities/alameda/alameda-type-21-liquor-license-for-full-liquor-off-sale-retailers/","CHANGE TO SELF","its canonical target /cities/alameda-type-21-liquor-license-for-full-liquor-off-sale-retailers/ returns 301, so pointing at it is a dead end"
"https://www.liquorlicenseagents.com/cities/alameda/alameda-type-41-beer-and-wine-license-for-restaurants","https://www.liquorlicenseagents.com/cities/alameda-type-41-beer-and-wine-license-for-restaurants/","https://www.liquorlicenseagents.com/cities/alameda/alameda-type-41-beer-and-wine-license-for-restaurants/","CHANGE TO THE TRAILING-SLASH URL","its canonical target /cities/alameda-type-41-beer-and-wine-license-for-restaurants/ returns 301, so pointing at it is a dead end; the trailing-slash spelling is the one this site uses everywhere else"
"https://www.liquorlicenseagents.com/cities/alameda/alameda-type-41-beer-and-wine-license-for-restaurants/","https://www.liquorlicenseagents.com/cities/alameda-type-41-beer-and-wine-license-for-restaurants/","https://www.liquorlicenseagents.com/cities/alameda/alameda-type-41-beer-and-wine-license-for-restaurants/","CHANGE TO SELF","its canonical target /cities/alameda-type-41-beer-and-wine-license-for-restaurants/ returns 301, so pointing at it is a dead end"
"https://www.liquorlicenseagents.com/cities/chula-vista/chula-vista-liquor-licenses-for-restaurants-bars-and-retailers","https://www.liquorlicenseagents.com/cities/chula-vista-liquor-licenses-for-restaurants-bars-and-retailers/","https://www.liquorlicenseagents.com/cities/chula-vista/chula-vista-liquor-licenses-for-restaurants-bars-and-retailers/","CHANGE TO THE TRAILING-SLASH URL","its canonical target /cities/chula-vista-liquor-licenses-for-restaurants-bars-and-retailers/ returns 301, so pointing at it is a dead end; the trailing-slash spelling is the one this site uses everywhere else"
"https://www.liquorlicenseagents.com/cities/chula-vista/chula-vista-liquor-licenses-for-restaurants-bars-and-retailers/","https://www.liquorlicenseagents.com/cities/chula-vista-liquor-licenses-for-restaurants-bars-and-retailers/","https://www.liquorlicenseagents.com/cities/chula-vista/chula-vista-liquor-licenses-for-restaurants-bars-and-retailers/","CHANGE TO SELF","its canonical target /cities/chula-vista-liquor-licenses-for-restaurants-bars-and-retailers/ returns 301, so pointing at it is a dead end"
