action,template,submitted_in_sitemap_now,canonical_target_becomes,hold_reason
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/agoura-hills/agoura-hills-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/agoura-hills-liquor-licenses-for-restaurants-bars-and-retailers/,""
HOLD,city-detail,https://www.liquorlicenseagents.com/cities/alameda/alameda-county-type-85-limited-off-sale-wine-license/,https://www.liquorlicenseagents.com/cities/alameda-county-type-85-limited-off-sale-wine-license/,"target 301s back to this same nested URL — repointing creates a loop"
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/alameda/alameda-type-20-liquor-license-for-beer-and-wine-off-sale/,https://www.liquorlicenseagents.com/cities/alameda-type-20-liquor-license-for-beer-and-wine-off-sale/,""
HOLD,city-detail,https://www.liquorlicenseagents.com/cities/alameda/alameda-type-21-full-liquor-license-for-liquor-stores-off-sale/,https://www.liquorlicenseagents.com/cities/alameda-type-21-full-liquor-license-for-liquor-stores-off-sale/,"target 301s back to this same nested URL — repointing creates a loop"
HOLD,city-detail,https://www.liquorlicenseagents.com/cities/alameda/alameda-type-21-liquor-license-for-full-liquor-off-sale-retailers/,https://www.liquorlicenseagents.com/cities/alameda-type-21-liquor-license-for-full-liquor-off-sale-retailers/,"target 301s back to this same nested URL — repointing creates a loop"
HOLD,city-detail,https://www.liquorlicenseagents.com/cities/alameda/alameda-type-41-beer-and-wine-license-for-restaurants/,https://www.liquorlicenseagents.com/cities/alameda-type-41-beer-and-wine-license-for-restaurants/,"target 301s back to this same nested URL — repointing creates a loop"
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/alameda/alameda-type-48-full-liquor-license-for-bars-and-nightclubs/,https://www.liquorlicenseagents.com/cities/alameda-type-48-full-liquor-license-for-bars-and-nightclubs/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/alameda/alameda-type-57-full-liquor-license-for-private-clubs/,https://www.liquorlicenseagents.com/cities/alameda-type-57-full-liquor-license-for-private-clubs/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/alameda/alameda-type-75-brewpub-license-for-restaurants-and-breweries/,https://www.liquorlicenseagents.com/cities/alameda-type-75-brewpub-license-for-restaurants-and-breweries/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/alhambra/alhambra-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/alhambra-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/aliso-viejo/aliso-viejo-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/aliso-viejo-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/anaheim/anaheim-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/anaheim-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/antioch/antioch-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/antioch-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/arcadia/arcadia-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/arcadia-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/artesia/artesia-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/artesia-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/avalon/avalon-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/avalon-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/azusa/azusa-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/azusa-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/baldwin-park/baldwin-park-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/baldwin-park-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/bell-gardens/bell-gardens-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/bell-gardens-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/bell/bell-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/bell-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/bellflower/bellflower-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/bellflower-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/berkeley/berkeley-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/berkeley-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/beverly-hills/beverly-hills-liquor-licenses-for-restaurants-bars-and-luxury-retailers/,https://www.liquorlicenseagents.com/cities/beverly-hills-liquor-licenses-for-restaurants-bars-and-luxury-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/beverly-hills/beverly-hills-type-20-license/,https://www.liquorlicenseagents.com/cities/beverly-hills-type-20-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/beverly-hills/beverly-hills-type-21-license/,https://www.liquorlicenseagents.com/cities/beverly-hills-type-21-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/beverly-hills/beverly-hills-type-41-license/,https://www.liquorlicenseagents.com/cities/beverly-hills-type-41-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/beverly-hills/beverly-hills-type-47-license/,https://www.liquorlicenseagents.com/cities/beverly-hills-type-47-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/beverly-hills/beverly-hills-type-48-license/,https://www.liquorlicenseagents.com/cities/beverly-hills-type-48-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/beverly-hills/beverly-hills-type-57-license/,https://www.liquorlicenseagents.com/cities/beverly-hills-type-57-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/beverly-hills/beverly-hills-type-61-license/,https://www.liquorlicenseagents.com/cities/beverly-hills-type-61-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/bradbury/bradbury-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/bradbury-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/brea/brea-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/brea-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/buena-park/buena-park-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/buena-park-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/burbank/burbank-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/burbank-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/burbank/burbank-type-20-license/,https://www.liquorlicenseagents.com/cities/burbank-type-20-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/burbank/burbank-type-21-license/,https://www.liquorlicenseagents.com/cities/burbank-type-21-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/burbank/burbank-type-41-license/,https://www.liquorlicenseagents.com/cities/burbank-type-41-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/burbank/burbank-type-47-license/,https://www.liquorlicenseagents.com/cities/burbank-type-47-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/burbank/burbank-type-48-license/,https://www.liquorlicenseagents.com/cities/burbank-type-48-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/burbank/burbank-type-57-license/,https://www.liquorlicenseagents.com/cities/burbank-type-57-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/burbank/burbank-type-61-license/,https://www.liquorlicenseagents.com/cities/burbank-type-61-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/calabasas/calabasas-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/calabasas-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/calistoga/calistoga-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/calistoga-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/camarillo/camarillo-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/camarillo-liquor-licenses-for-restaurants-bars-and-retailers/,""
